,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.87,0.89,0.90,0.90
Partly cloudly,0.74,0.69,0.77,0.75
Clear sky,0.91,0.86,0.83,0.85
accuracy,0.84,0.83,0.84,0.84
