,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.89,0.89,0.86,0.89
Partly cloudly,0.69,0.75,0.73,0.76
Clear sky,0.88,0.93,0.79,0.84
accuracy,0.83,0.86,0.80,0.83
