,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.88,0.90,0.86,0.87
Partly cloudly,0.72,0.71,0.72,0.75
Clear sky,0.89,0.88,0.79,0.86
accuracy,0.84,0.84,0.80,0.83
