,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.86,0.87,0.84,0.88
Partly cloudly,0.68,0.70,0.69,0.75
Clear sky,0.87,0.90,0.78,0.84
accuracy,0.81,0.84,0.77,0.83
