,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.88,0.90,0.81,0.86
Partly cloudly,0.69,0.70,0.67,0.73
Clear sky,0.85,0.85,0.83,0.84
accuracy,0.82,0.84,0.77,0.81
