------------------------------------------------------------
		Sky model: GHI	Operation: ratio
------------------------------------------------------------
                precision    recall  f1-score   support

       Cloudly       0.84      0.89      0.86       125
Partly cloudly       0.75      0.61      0.67        84
     Clear sky       0.79      0.91      0.85        57

      accuracy                           0.80       266
     macro avg       0.79      0.80      0.79       266
  weighted avg       0.80      0.80      0.80       266
