,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.83,0.79,0.81,0.78
Partly cloudly,0.72,0.55,0.71,0.65
Clear sky,0.83,0.81,0.81,0.81
accuracy,0.80,0.73,0.78,0.74
