,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.82,0.83,0.75,0.81
Partly cloudly,0.69,0.60,0.61,0.65
Clear sky,0.87,0.89,0.70,0.79
accuracy,0.79,0.79,0.69,0.75
