,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.86,0.89,0.83,0.88
Partly cloudly,0.66,0.62,0.68,0.71
Clear sky,0.84,0.85,0.77,0.83
accuracy,0.80,0.81,0.76,0.81
