,Sureste2,Noreste,Noroeste,Suroeste
Cloudly,0.87,0.86,0.82,0.89
Partly cloudly,0.70,0.64,0.66,0.77
Clear sky,0.85,0.86,0.79,0.85
accuracy,0.82,0.81,0.76,0.84
